Date,Open,High,Low,Close,Adj Close,Volume
2016-08-22,78.3,78.3,78.3,78.25,78.25,200
2016-08-19,78.4,78.5,78.4,78.5,78.5,5600
2016-08-18,78.35,78.4,78.2,78.4,78.4,6200
2016-08-17,78.7,78.7,78.35,78.4,78.4,4400
2016-08-16,78.3,78.5,77.95,78.5,78.5,6000
2016-08-15,78.4,78.55,78.4,78.4,78.4,8000
2016-08-12,78.65,78.65,78.65,78.65,78.65,0
2016-08-11,79.05,79.05,78.55,78.6,78.6,7000
2016-08-10,79.1,79.3,78.6,79.3,79.3,12400
2016-08-09,79.45,79.45,79.25,79.25,79.25,800
2016-08-08,79.2,79.2,78.7,79.2,79.2,15200
2016-08-05,78.2,79.2,78.2,79.1,78.8,19200
2016-08-04,78,78.2,77.9,78.1,77.8,3800
2016-08-03,78.2,78.2,77.8,78,77.7,17200
2016-08-02,78.4,78.4,78.4,78.4,78.1,0
2016-08-01,77.3,78.6,77.3,78.4,78.1,23400
2016-07-29,77.5,77.5,77.05,77.05,76.76,1600
2016-07-28,77,77,77,77,76.71,200
2016-07-27,77,77.2,77,77.2,76.91,1200
2016-07-26,77.2,77.2,77.2,77.2,76.91,200
2016-07-25,77,77,77,77,76.71,0
2016-07-22,77.5,77.5,77,77,76.71,13600
2016-07-21,78.5,78.5,77.5,77.55,77.26,11800
2016-07-20,77.5,78.5,77.5,78.5,78.2,15600
2016-07-19,77.05,77.05,77.05,77.05,76.76,600
2016-07-18,76,77,76,77,76.71,8600
2016-07-15,75.2,76,75.2,76,75.71,7200
2016-07-14,75.05,75.05,75,75.1,74.82,600
2016-07-13,75,75,75,75,74.72,0
2016-07-12,75.05,75.75,75,75,74.72,3400
2016-07-11,75.5,75.5,75.35,75.4,75.11,1400
2016-07-08,75.5,75.5,74.9,75.2,74.91,2600
2016-07-07,75.5,75.5,75.5,75.5,75.21,0
2016-07-06,75.5,75.5,75.45,75.5,75.21,1800
2016-07-05,76.7,76.7,75,75.5,75.21,2600
2016-07-04,75,76.9,74.05,76.7,76.41,2200
2016-07-01,75.9,75.9,75.9,75.9,75.61,0
2016-06-30,73.5,75.9,72.95,75.9,75.61,12000
2016-06-29,73.5,74.5,73.5,74.5,74.22,600
2016-06-28,73.3,73.5,73.3,73.5,73.22,1600
2016-06-27,72.1,73.5,72.05,73.45,73.17,600
2016-06-24,73,73,72.6,73,72.72,6600
2016-06-23,73.35,73.35,73.35,73.35,73.07,0
2016-06-22,73,74,73,73.35,73.07,3400
2016-06-21,73.45,73.45,73.45,73.45,73.17,800
2016-06-20,73.4,73.45,73.4,73.45,73.17,1000
2016-06-17,73.35,73.35,73.35,73.35,73.07,600
2016-06-16,73.5,73.5,73.5,73.5,73.22,7000
2016-06-15,74.5,74.5,74.5,74.5,74.22,3800
2016-06-14,74,74.75,74,74.5,74.22,5400
2016-06-13,74,74,74,74,73.72,2200
2016-06-10,75.5,75.5,75.5,75.5,75.21,0
2016-06-09,75.5,75.5,75.5,75.5,75.21,0
2016-06-08,75,75.5,75,75.5,75.21,2200
2016-06-07,74,74.05,74,74,73.72,3600
2016-06-06,73.8,73.8,73.8,73.8,73.52,0
2016-06-03,73.8,73.8,73.8,73.8,73.52,0
2016-06-02,73.8,73.8,73.8,73.8,73.52,1200
2016-06-01,73.5,73.5,73.5,73.5,73.22,0
2016-05-31,73.5,73.5,73.5,73.5,73.22,0
2016-05-30,73.5,73.5,73.5,73.5,73.22,800
2016-05-27,73.5,73.5,73.25,73.25,72.97,1400
2016-05-26,73.5,73.5,73.5,73.5,73.22,1000
2016-05-25,73.5,73.5,73.5,73.45,73.17,200
2016-05-24,72.95,72.95,72.95,72.95,72.67,0
2016-05-23,73,73,72.95,72.95,72.67,400
2016-05-20,72.35,73.3,72.3,73,72.72,2800
2016-05-19,72.3,72.3,72.3,72.3,72.03,0
2016-05-18,73,73,72.3,72.3,72.03,1200
2016-05-17,73.2,73.2,73.2,73.2,72.92,0
2016-05-16,73.2,73.2,73.2,73.2,72.92,0
2016-05-13,73,73.2,73,73.2,72.92,1600
2016-05-12,73.1,73.1,73.1,73.1,72.82,200
2016-05-11,73.8,73.8,73.8,73.8,73.52,0
2016-05-10,73.5,74.1,73.5,73.8,73.52,2800
2016-05-09,73.2,73.2,73.2,73.2,72.92,0
2016-05-06,73.05,73.2,73,73.2,72.92,3200
2016-05-05,73,73,73,73,72.72,0
2016-05-04,73,73,73,73.2,72.92,400
2016-05-03,73.5,73.6,73.2,73.2,72.92,3400
2016-05-02,73.5,73.5,73.5,73.5,73.22,0
2016-04-29,73.5,73.5,73,73.5,73.22,5800
2016-04-28,73.1,73.1,72.05,73,72.72,6000
2016-04-27,73.2,73.2,73.2,73.2,72.92,200
2016-04-26,72.65,73,72.6,73,72.72,2900
2016-04-25,73.05,73.05,73,73,72.72,4800
2016-04-22,72.9,73.1,72.9,73.1,72.82,1600
2016-04-21,72.5,72.65,72.5,72.6,72.32,8100
2016-04-20,73.2,73.2,72.9,72.9,72.62,800
2016-04-19,72.8,73.8,72.8,73.4,73.12,1400
2016-04-18,72.5,73.1,72.5,72.8,72.52,1600
2016-04-15,73.25,73.25,73.25,73.25,72.97,0
2016-04-14,73.1,73.5,73.1,73.25,72.97,5000
2016-04-13,72.6,72.6,72.4,72.4,72.13,2400
2016-04-12,71.4,71.4,71.4,71.7,71.43,1600
2016-04-11,71.45,71.45,71.45,71.45,71.18,400
2016-04-08,71.35,71.35,71.35,71.35,71.08,0
2016-04-07,71.3,71.3,71.3,71.3,71.03,0
2016-04-06,71.2,71.25,71.2,71.25,70.98,1200
2016-04-05,71.35,71.35,71.35,71.35,71.08,1000
2016-04-04,71.4,71.4,71.4,71.4,71.13,0
2016-04-01,71.25,71.4,71.2,71.4,71.13,1600
2016-03-31,70.05,70.05,70.05,72,71.73,400
2016-03-30,73,73,72.95,73,72.72,2600
2016-03-29,72.95,72.95,72.95,72.9,72.62,400
2016-03-28,72,72,72,72,71.73,0
2016-03-25,72,72,72,72,71.73,0
2016-03-24,72,72,72,72,71.73,1800
2016-03-23,72,72,71.5,71.5,71.23,800
2016-03-22,72,72,72,72,71.73,0
2016-03-21,71.55,72,71,72,71.73,3000
2016-03-18,73.3,73.4,70.15,72.5,72.23,14300
2016-03-17,74.2,74.35,74.2,74.35,73.97,400
2016-03-16,73.3,73.3,73.3,73.3,72.92,200
2016-03-15,73.5,74,73.5,74,73.62,4800
2016-03-14,73.4,73.5,73.4,73.5,73.12,1400
2016-03-11,72.7,73.4,72.7,73.4,73.02,6800
2016-03-10,72.9,72.9,72.9,72.9,72.53,0
2016-03-09,73,73,73,73,72.63,1000
2016-03-08,72.8,73,72.8,72.8,72.43,600
2016-03-07,72.2,72.2,71.3,71.65,71.28,2600
2016-03-04,72,72,71.15,71.15,70.78,2200
2016-03-03,72.15,72.15,71.9,71.9,71.53,1800
2016-03-02,72,72,72,72,71.63,1000
2016-03-01,71.7,71.7,71.7,71.7,71.33,0
2016-02-29,70.4,71.8,70,71.7,71.33,3000
2016-02-26,71.95,72,71.4,71.4,71.03,1800
2016-02-25,71.45,71.5,71.45,71.5,71.13,1400
2016-02-24,70.9,70.95,70.9,70.95,70.59,600
2016-02-23,72.5,72.5,69.95,69.95,69.59,6000
2016-02-22,72.2,72.2,72,72.1,71.73,1100
2016-02-19,71.2,71.2,71.2,71.2,70.83,0
2016-02-18,71.2,71.2,71.2,71.2,70.83,400
2016-02-17,70.2,70.2,70.2,70.2,69.84,0
2016-02-16,70,70,70,70,69.64,1000
2016-02-15,70,70,69.95,70,69.64,3800
2016-02-12,69,69,69,69,68.65,1000
2016-02-11,69,69,69,69,68.65,600
2016-02-10,71.5,71.5,71.5,71.5,71.13,0
2016-02-09,71.5,71.5,71.5,71.5,71.13,0
2016-02-08,71.5,71.5,71.5,71.5,71.13,0
2016-02-05,71.5,71.5,71.5,71.5,71.13,400
2016-02-04,72,72,72,72,71.63,400
