2013-05-09;0033.HK;Open;1336000;0.07;988.64
2013-05-20;0030.HK;Open;488000;0.2;989.86
2013-05-28;0030.HK;StopLoss;-488000;0.17;850.97
2013-05-30;0033.HK;TakeProfit;-1336000;0.08;1095.52
2013-06-13;0033.HK;Open;1336000;0.07;988.64
2013-06-18;0033.HK;TakeProfit;-1336000;0.1;1376.08
2013-08-16;0033.HK;Open;772000;0.13;988.16
2013-08-27;0033.HK;TakeProfit;-772000;0.14;1103.96
2013-09-03;0033.HK;Open;754000;0.13;987.74
2013-09-17;0033.HK;StopLoss;-754000;0.12;867.1
2013-10-11;0030.HK;Open;686000;0.14;988.53
2013-11-01;0030.HK;TakeProfit;-686000;0.18;1234.05
2014-10-30;0028.HK;Open;20000;4.8;959.15
2015-01-02;0047.HK;Open;824000;0.12;988.8
2015-01-28;0047.HK;TakeProfit;-824000;0.14;1145.36
2015-07-06;0028.HK;StopLoss;-20000;4.3;860.19
2016-01-11;0044.HK;Open;1600;50.5;808.0
2016-03-04;0044.HK;TakeProfit;-1600;56.0;896.0
2016-04-07;0036.HK;Open;150000;0.65;975.0
2016-04-19;0036.HK;TakeProfit;-150000;0.79;1185.0
2016-05-27;0036.HK;Open;138000;0.71;979.8
2016-08-25;0009.HK;Open;408000;0.24;979.2
2016-08-26;0036.HK;TakeProfit;-138000;0.87;1200.6
2016-09-08;0009.HK;TakeProfit;-408000;0.28;1142.4
